Caso 1: N=550307962409600896, O=449999999999999999
Caso 98: N=790956420380590976, O=789999999999999999
Caso 99: N=514167412034301504, O=499999999999999999
Caso 100: N=167468759118992608, O=166999999999999999
Caso 101: N=874451951652909184, O=799999999999999999
Caso 102: N=896616311545102464, O=889999999999999999
Caso 103: N=534591503346844800, O=499999999999999999
Caso 104: N=214502604213951968, O=199999999999999999
Caso 105: N=591924403084300288, O=589999999999999999
Caso 106: N=624378799365441536, O=599999999999999999
Caso 107: N=353824147034655040, O=349999999999999999
Caso 108: N=528175067046068288, O=499999999999999999
Caso 109: N=585735839126032512, O=579999999999999999
Caso 110: N=7646262356266753, O=6999999999999999
Caso 111: N=449726435906096320, O=448999999999999999
Caso 112: N=542921243032848960, O=499999999999999999
Caso 113: N=92787683009099456, O=89999999999999999
Caso 114: N=541042412081839232, O=499999999999999999
Caso 115: N=827884223612446080, O=799999999999999999
Caso 116: N=249371686644228160, O=248999999999999999
Caso 117: N=452473843945206080, O=449999999999999999
Caso 118: N=250278791732997056, O=249999999999999999
Caso 119: N=653511304005296384, O=599999999999999999
Caso 120: N=154201596387568128, O=149999999999999999
Caso 121: N=542480426774736320, O=499999999999999999
Caso 122: N=35982378253627380, O=35899999999999999
Caso 123: N=989596915870421632, O=899999999999999999
Caso 124: N=380472487618114240, O=379999999999999999
Caso 125: N=626936184174812416, O=599999999999999999
Caso 126: N=932017831059780480, O=899999999999999999
Caso 127: N=662934123804399360, O=559999999999999999
Caso 128: N=570972554629011392, O=569999999999999999
Caso 129: N=195679384168605312, O=189999999999999999
Caso 130: N=689345273289719552, O=688999999999999999
Caso 131: N=682986705342551296, O=679999999999999999
Caso 132: N=105694229350062672, O=99999999999999999
Caso 133: N=979852459684610048, O=899999999999999999
Caso 134: N=273213209516123616, O=269999999999999999
Caso 135: N=698121711984524160, O=689999999999999999
Caso 136: N=899471221814805760, O=888999999999999999
Caso 137: N=91730875539060112, O=89999999999999999
Caso 138: N=444492939082255872, O=444489999999999999
Caso 139: N=689556145752522880, O=688999999999999999
Caso 140: N=706929030864854400, O=699999999999999999
Caso 141: N=155637866316371552, O=155599999999999999
Caso 142: N=585219505895261184, O=579999999999999999
Caso 143: N=475435299252616832, O=469999999999999999
Caso 144: N=429286759377397248, O=399999999999999999
Caso 145: N=371992572840998720, O=369999999999999999
Caso 146: N=323911540465217536, O=299999999999999999
Caso 147: N=625781999362065024, O=599999999999999999
Caso 148: N=391179943905788032, O=389999999999999999
Caso 149: N=687983340490482304, O=679999999999999999
Caso 150: N=318000443985368960, O=299999999999999999
Caso 151: N=73625087031171648, O=69999999999999999
Caso 152: N=935557858513886464, O=899999999999999999
Caso 153: N=636054771423595136, O=599999999999999999
Caso 154: N=758706896202592896, O=699999999999999999
Caso 155: N=48436264702368392, O=47999999999999999
Caso 156: N=970840621669591552, O=899999999999999999
Caso 157: N=945340718535292544, O=899999999999999999
Caso 158: N=777960666907729792, O=777899999999999999
Caso 159: N=955075339186605440, O=899999999999999999
Caso 160: N=296905059225184064, O=289999999999999999
Caso 161: N=731372253606772864, O=699999999999999999
Caso 162: N=957467683344608128, O=899999999999999999
Caso 163: N=474762914544459648, O=469999999999999999
Caso 164: N=635100556310136576, O=599999999999999999
Caso 165: N=925834043450783104, O=899999999999999999
Caso 166: N=566785582142174528, O=566779999999999999
Caso 167: N=474171023229882496, O=469999999999999999
Caso 168: N=292379167459678208, O=289999999999999999
Caso 169: N=620837938225276032, O=599999999999999999
Caso 170: N=990277461864731904, O=889999999999999999
Caso 171: N=274542135265151488, O=269999999999999999
Caso 172: N=300757049121824576, O=299999999999999999
Caso 173: N=171128498270107008, O=169999999999999999
Caso 174: N=42070807160441096, O=39999999999999999
Caso 175: N=454817048950595072, O=449999999999999999
Caso 176: N=690707055344218496, O=689999999999999999
Caso 177: N=222829767364218784, O=222799999999999999
Caso 178: N=513656798041001088, O=499999999999999999
Caso 179: N=641072804508039424, O=599999999999999999
Caso 180: N=280715140643449504, O=279999999999999999
Caso 181: N=318788165785795264, O=299999999999999999
Caso 182: N=350522510894802112, O=349999999999999999
Caso 183: N=669141945932547200, O=668999999999999999
Caso 184: N=995116103408187904, O=889999999999999999
Caso 185: N=368262106421355264, O=367999999999999999
Caso 186: N=312217007189081216, O=299999999999999999
Caso 187: N=98104767328168752, O=89999999999999999
Caso 188: N=258456850857922688, O=257999999999999999
Caso 189: N=62653535010644520, O=59999999999999999
Caso 190: N=834509592366738432, O=799999999999999999
Caso 191: N=299416558525468672, O=288999999999999999
Caso 192: N=457018443123597056, O=456999999999999999
Caso 193: N=269172490321761824, O=268999999999999999
Caso 194: N=82806369527515632, O=79999999999999999
Caso 195: N=249752072402935168, O=248999999999999999
Caso 196: N=806760755562985856, O=799999999999999999
Caso 197: N=540770661945229376, O=499999999999999999
Caso 198: N=862749431287261952, O=799999999999999999
Caso 199: N=715219622072646656, O=699999999999999999
Caso 200: N=221836340623359328, O=119999999999999999
Caso 201: N=143375610418364000, O=139999999999999999
Caso 202: N=136930391936642464, O=136899999999999999
Caso 203: N=730418333617073536, O=699999999999999999
Caso 204: N=938953420451652992, O=899999999999999999
Caso 205: N=420402510141285696, O=399999999999999999
Caso 206: N=385907995491473792, O=379999999999999999
Caso 207: N=147880806419684256, O=147779999999999999
Caso 208: N=720249917173584128, O=699999999999999999
Caso 209: N=889715158837161984, O=888999999999999999
Caso 210: N=947227289766596992, O=899999999999999999
Caso 211: N=561765684078099776, O=559999999999999999
Caso 212: N=430973920143184256, O=399999999999999999
Caso 213: N=199654251973040224, O=188999999999999999
Caso 214: N=767895809050963584, O=699999999999999999
Caso 215: N=94233172460560176, O=89999999999999999
Caso 216: N=668148614317272704, O=667999999999999999
Caso 217: N=958445178931426560, O=899999999999999999
Caso 218: N=713779702662334464, O=699999999999999999
Caso 219: N=373758301605547712, O=369999999999999999
Caso 220: N=902532315502818432, O=899999999999999999
Caso 221: N=495243599998113536, O=489999999999999999
Caso 222: N=693640960807405696, O=689999999999999999
Caso 223: N=531705828911873664, O=499999999999999999
Caso 224: N=288567308692608576, O=277999999999999999
Caso 225: N=811272201705393408, O=799999999999999999
Caso 226: N=376044302848830720, O=369999999999999999
Caso 227: N=196812024904429280, O=189999999999999999
Caso 228: N=895643860383451776, O=889999999999999999
Caso 229: N=335947241514915968, O=335899999999999999
Caso 230: N=204120456005283840, O=199999999999999999
Caso 231: N=276788116673259872, O=269999999999999999
Caso 232: N=618888715411228032, O=599999999999999999
Caso 233: N=615588945153798400, O=599999999999999999
Caso 234: N=746180153382201984, O=699999999999999999
Caso 235: N=782081002213356672, O=779999999999999999
Caso 236: N=438819878182716416, O=399999999999999999
Caso 237: N=731254944887063936, O=699999999999999999
Caso 238: N=159431053514195168, O=158999999999999999
Caso 239: N=68896726363050328, O=68889999999999999
Caso 240: N=16593037153725620, O=15999999999999999
Caso 241: N=67431504578292720, O=66999999999999999
Caso 242: N=689557437556998144, O=688999999999999999
Caso 243: N=656912988495302272, O=599999999999999999
Caso 244: N=835196580159743232, O=799999999999999999
Caso 245: N=34762418192315960, O=34699999999999999
Caso 246: N=680680943472730496, O=679999999999999999
Caso 247: N=211676845419163104, O=199999999999999999
Caso 248: N=226836356306747712, O=226799999999999999
Caso 249: N=487690743771854528, O=479999999999999999
Caso 250: N=528227364821348160, O=499999999999999999
Caso 251: N=372504240412017216, O=369999999999999999
Caso 252: N=662883130983514752, O=559999999999999999
Caso 253: N=871834123688107648, O=799999999999999999
Caso 254: N=371483504701930240, O=369999999999999999
Caso 255: N=853768598793268224, O=799999999999999999
Caso 256: N=625138749650673792, O=599999999999999999
Caso 257: N=586109315943337600, O=579999999999999999
Caso 258: N=93134971247757264, O=89999999999999999
Caso 259: N=650785319676277888, O=599999999999999999
Caso 260: N=225810330314638144, O=225799999999999999
Caso 261: N=651067404322665728, O=599999999999999999
Caso 262: N=369834250851151168, O=368999999999999999
Caso 263: N=241070185102016064, O=239999999999999999
Caso 264: N=498463630372816384, O=489999999999999999
Caso 265: N=537595746979590784, O=499999999999999999
Caso 266: N=100855731669946096, O=99999999999999999
Caso 267: N=387569283014204096, O=379999999999999999
Caso 268: N=943360791209351680, O=899999999999999999
Caso 269: N=929089103432040704, O=899999999999999999
Caso 270: N=531152495196987712, O=499999999999999999
Caso 271: N=522528785998859200, O=499999999999999999
Caso 272: N=477969289464559104, O=477899999999999999
Caso 273: N=265386421321421088, O=259999999999999999
Caso 274: N=780637396059725952, O=779999999999999999
Caso 275: N=718993144648727040, O=699999999999999999
Caso 276: N=417062408830688448, O=399999999999999999
Caso 277: N=148216056203777216, O=147999999999999999
Caso 278: N=293268641892408192, O=289999999999999999
Caso 279: N=941490464365741696, O=899999999999999999
Caso 280: N=486714372245364096, O=479999999999999999
Caso 281: N=75587223425801040, O=69999999999999999
Caso 282: N=927528183321135360, O=899999999999999999
Caso 283: N=608284156591670528, O=599999999999999999
Caso 284: N=162625739485288128, O=159999999999999999
Caso 285: N=516510403079564864, O=499999999999999999
Caso 286: N=24138641037327768, O=23999999999999999
Caso 287: N=494640523968956992, O=489999999999999999
Caso 288: N=815597777784327296, O=799999999999999999
Caso 289: N=37625563331882936, O=36999999999999999
Caso 290: N=807372752526418048, O=799999999999999999
Caso 291: N=659881934216559872, O=599999999999999999
Caso 292: N=245607150526008224, O=245599999999999999
Caso 293: N=49761319744426880, O=48999999999999999
Caso 294: N=903066746335778560, O=899999999999999999
Caso 295: N=390565464222061952, O=389999999999999999
Caso 296: N=190815111842985952, O=189999999999999999
Caso 297: N=755144546753801728, O=699999999999999999
Caso 298: N=589457062419319680, O=588999999999999999
Caso 299: N=117947964949039136, O=117899999999999999
Caso 300: N=308978517601016768, O=299999999999999999
Caso 301: N=44924315040462792, O=44899999999999999
Caso 302: N=636217732731287936, O=599999999999999999
Caso 303: N=889967592918215552, O=888899999999999999
Caso 304: N=946112099153669376, O=899999999999999999
Caso 305: N=421870100174216192, O=399999999999999999
Caso 306: N=232583293341127936, O=229999999999999999
Caso 307: N=256293415788303776, O=255999999999999999
Caso 308: N=730885054118037120, O=699999999999999999
Caso 309: N=504549087955676224, O=499999999999999999
Caso 310: N=557200033160591552, O=556999999999999999
Caso 311: N=359563959566051904, O=358999999999999999
Caso 312: N=663117018601872000, O=559999999999999999
Caso 313: N=306982610195893888, O=299999999999999999
Caso 314: N=356396890348831, O=355999999999999
Caso 315: N=616756710441201664, O=599999999999999999
Caso 316: N=900872235668939264, O=899999999999999999
Caso 317: N=281727668720609056, O=279999999999999999
Caso 318: N=913500795355098880, O=899999999999999999
Caso 319: N=621700381618813568, O=599999999999999999
Caso 320: N=893032559676360576, O=889999999999999999
Caso 321: N=64524058988642104, O=59999999999999999
Caso 322: N=31463171799959720, O=29999999999999999
Caso 323: N=803062082355052800, O=799999999999999999
Caso 324: N=852863352129286784, O=799999999999999999
Caso 325: N=965093544590670848, O=899999999999999999
Caso 326: N=389554384885463232, O=388999999999999999
Caso 327: N=931712293286079360, O=899999999999999999
Caso 328: N=822969201008395264, O=799999999999999999
Caso 329: N=511372297045277952, O=499999999999999999
Caso 330: N=640725304683264768, O=599999999999999999
Caso 331: N=787190268957040640, O=779999999999999999
Caso 332: N=743168687430935552, O=699999999999999999
Caso 333: N=773403622006753664, O=669999999999999999
Caso 334: N=167225313026932672, O=166999999999999999
Caso 335: N=165063211569554048, O=159999999999999999
Caso 336: N=200725430614889, O=199999999999999
Caso 337: N=768313159412458624, O=699999999999999999
Caso 338: N=276707609408417888, O=269999999999999999
Caso 339: N=935292709848412544, O=899999999999999999
Caso 340: N=911807718161261824, O=899999999999999999
Caso 341: N=979233643755634176, O=899999999999999999
Caso 342: N=74487003882124592, O=69999999999999999
Caso 343: N=46292377848902832, O=45999999999999999
Caso 344: N=477623324176455360, O=466999999999999999
Caso 345: N=908742282676899584, O=899999999999999999
Caso 346: N=311662702586963904, O=299999999999999999
Caso 347: N=210180496217730368, O=199999999999999999
Caso 348: N=515425651362082624, O=499999999999999999
Caso 349: N=631318830866368640, O=599999999999999999
Caso 350: N=623077699713866496, O=599999999999999999
Caso 351: N=501802764539866176, O=499999999999999999
Caso 352: N=993699701862773504, O=889999999999999999
Caso 353: N=509527336323385344, O=499999999999999999
Caso 354: N=89593207375431520, O=88999999999999999
Caso 355: N=257419158549929152, O=256999999999999999
Caso 356: N=970085238196427648, O=899999999999999999
Caso 357: N=595070792547275904, O=589999999999999999
Caso 358: N=985914538945134464, O=899999999999999999
Caso 359: N=468520669874512704, O=467999999999999999
Caso 360: N=50169269798096104, O=49999999999999999
Caso 361: N=748562205370132352, O=699999999999999999
Caso 362: N=908213207363067264, O=899999999999999999
Caso 363: N=332060785764581760, O=229999999999999999
Caso 364: N=692215548934677504, O=689999999999999999
Caso 365: N=180801766094556000, O=179999999999999999
Caso 366: N=215047202636280288, O=199999999999999999
Caso 367: N=740457963665997312, O=699999999999999999
Caso 368: N=805518884203104, O=799999999999999
Caso 369: N=943544411592616960, O=899999999999999999
Caso 370: N=860589469050038144, O=799999999999999999
Caso 371: N=273044510706063616, O=269999999999999999
Caso 372: N=875998608675321728, O=799999999999999999
Caso 373: N=879187922981136000, O=799999999999999999
Caso 374: N=250932469370382368, O=249999999999999999
Caso 375: N=685208736098900992, O=679999999999999999
Caso 376: N=514502292952812352, O=499999999999999999
Caso 377: N=676506811052525312, O=669999999999999999
Caso 378: N=712244430360675200, O=699999999999999999
Caso 379: N=982296743360307456, O=899999999999999999
Caso 380: N=295475273778049024, O=289999999999999999
Caso 381: N=973502378373697152, O=899999999999999999
Caso 382: N=523810724179624704, O=499999999999999999
Caso 383: N=912410943020945536, O=899999999999999999
Caso 384: N=25969703627788832, O=25899999999999999
Caso 385: N=898634996803971712, O=889999999999999999
Caso 386: N=239501659960598144, O=238999999999999999
Caso 387: N=115562387886518512, O=115559999999999999
Caso 388: N=369651673107516672, O=368999999999999999
Caso 389: N=48149707341699544, O=47999999999999999
Caso 390: N=197965753992957920, O=189999999999999999
Caso 391: N=226204851931220096, O=225999999999999999
Caso 392: N=37321280894775488, O=36999999999999999
Caso 393: N=659901615856996608, O=599999999999999999
Caso 394: N=704855330336880000, O=699999999999999999
Caso 395: N=941998164068217856, O=899999999999999999
Caso 396: N=978887288591705856, O=899999999999999999
Caso 397: N=663032910480163328, O=559999999999999999
Caso 398: N=359649210514072192, O=358999999999999999
Caso 399: N=443719291922649024, O=339999999999999999
Caso 400: N=383833346337826816, O=379999999999999999
Caso 401: N=358048708895520896, O=357999999999999999
Caso 402: N=395144893697828480, O=389999999999999999
Caso 403: N=579559544943467008, O=578999999999999999
Caso 404: N=770846110951920896, O=669999999999999999
Caso 405: N=713284058515316352, O=699999999999999999
Caso 406: N=699450707931488256, O=688999999999999999
Caso 407: N=911616863573324800, O=899999999999999999
Caso 408: N=827158225576686336, O=799999999999999999
Caso 409: N=651449691611705344, O=599999999999999999
Caso 410: N=398315989561483264, O=389999999999999999
Caso 411: N=63212230052965616, O=59999999999999999
Caso 412: N=944291967460079360, O=899999999999999999
Caso 413: N=243890087606089088, O=239999999999999999
Caso 414: N=489895122634311872, O=488999999999999999
Caso 415: N=802729655936817280, O=799999999999999999
Caso 416: N=589272115500933248, O=588999999999999999
Caso 417: N=430381601866151680, O=399999999999999999
Caso 418: N=44549391487593960, O=44499999999999999
Caso 419: N=952999703318778752, O=899999999999999999
Caso 420: N=749009420327448192, O=699999999999999999
Caso 421: N=738744818448376960, O=699999999999999999
Caso 422: N=909048114489520256, O=899999999999999999
Caso 423: N=524816380756926144, O=499999999999999999
Caso 424: N=690439140878254080, O=689999999999999999
Caso 425: N=491239700922468800, O=489999999999999999
Caso 426: N=687538477929795200, O=679999999999999999
Caso 427: N=438997966355738176, O=399999999999999999
Caso 428: N=190131280426409472, O=189999999999999999
Caso 429: N=153658425025886432, O=149999999999999999
Caso 430: N=10911205886327546, O=9999999999999999
Caso 431: N=823472463606405888, O=799999999999999999
Caso 432: N=204472795912674880, O=199999999999999999
Caso 433: N=808224807096484736, O=799999999999999999
Caso 434: N=751697161322614400, O=699999999999999999
Caso 435: N=150188660952147776, O=149999999999999999
Caso 436: N=675154202004635904, O=669999999999999999
Caso 437: N=212855835896421984, O=199999999999999999
Caso 438: N=893387669071498496, O=889999999999999999
Caso 439: N=411224158537322496, O=399999999999999999
Caso 440: N=794575999856205312, O=789999999999999999
Caso 441: N=547035248902950976, O=499999999999999999
Caso 442: N=221079125458477184, O=119999999999999999
Caso 443: N=124282006797965312, O=123999999999999999
Caso 444: N=591923514851968000, O=589999999999999999
Caso 445: N=738494913877819648, O=699999999999999999
Caso 446: N=864600476024768384, O=799999999999999999
Caso 447: N=204837980073412032, O=199999999999999999
Caso 448: N=143040910095666112, O=139999999999999999
Caso 449: N=215094479141690432, O=199999999999999999
Caso 450: N=995789716673477760, O=889999999999999999
Caso 451: N=645520611734895744, O=599999999999999999
Caso 452: N=55868498809053536, O=55799999999999999
Caso 453: N=32736172693862088, O=29999999999999999
Caso 454: N=658343524145337216, O=599999999999999999
Caso 455: N=502876765001259328, O=499999999999999999
Caso 456: N=138090057094276688, O=137999999999999999
Caso 457: N=592845409991592576, O=589999999999999999
Caso 458: N=791671897690626688, O=789999999999999999
Caso 459: N=907495513551346560, O=899999999999999999
Caso 460: N=314769473144876160, O=299999999999999999
Caso 461: N=581894794488000000, O=579999999999999999
Caso 462: N=999447488856141824, O=888999999999999999
Caso 463: N=685533531130797568, O=679999999999999999
Caso 464: N=931139594432488320, O=899999999999999999
Caso 465: N=340643039545627008, O=339999999999999999
Caso 466: N=509047184956246656, O=499999999999999999
Caso 467: N=708005681960030720, O=699999999999999999
Caso 468: N=549337719427722368, O=499999999999999999
Caso 469: N=602206580105341056, O=599999999999999999
Caso 470: N=69841285428877912, O=68999999999999999
Caso 471: N=268774438031366464, O=267999999999999999
Caso 472: N=227766384789832128, O=226699999999999999
Caso 473: N=425776482009344896, O=399999999999999999
Caso 474: N=246293179483906624, O=245999999999999999
Caso 475: N=632992332330587904, O=599999999999999999
Caso 476: N=57889826483548016, O=57888999999999999
Caso 477: N=196738767414085568, O=189999999999999999
Caso 478: N=676090856214923008, O=669999999999999999
Caso 479: N=394822083969053952, O=389999999999999999
Caso 480: N=425659811969813504, O=399999999999999999
Caso 481: N=764151517510622208, O=699999999999999999
Caso 482: N=384038664195628032, O=379999999999999999
Caso 483: N=436578899835400960, O=399999999999999999
Caso 484: N=63397423912230024, O=59999999999999999
Caso 485: N=142977282511645536, O=139999999999999999
Caso 486: N=169196034617134944, O=168999999999999999
Caso 487: N=91010302490529104, O=89999999999999999
Caso 488: N=462839734335818240, O=459999999999999999
Caso 489: N=721165153722723712, O=699999999999999999
Caso 490: N=415757661707916288, O=399999999999999999
Caso 491: N=574248599275682048, O=569999999999999999
Caso 492: N=631193661787666816, O=599999999999999999
Caso 493: N=580621336734883840, O=579999999999999999
Caso 494: N=417427045525484352, O=399999999999999999
Caso 495: N=879041998352895104, O=799999999999999999
Caso 496: N=489421790135028928, O=488999999999999999
Caso 497: N=366303292896703168, O=355999999999999999
Caso 498: N=450543716124995968, O=449999999999999999
Caso 499: N=96190143574524384, O=89999999999999999
Caso 500: N=435617693584856128, O=399999999999999999
Caso 501: N=119116956671451728, O=118999999999999999
Caso 502: N=382981803333426432, O=379999999999999999
Caso 503: N=566680731759353728, O=566679999999999999
Caso 504: N=726211432825412096, O=699999999999999999
Caso 505: N=625992735734893696, O=599999999999999999
Caso 506: N=563845517115317696, O=559999999999999999
Caso 507: N=357843345038318080, O=357799999999999999
Caso 508: N=363878393300043456, O=359999999999999999
Caso 509: N=134460382443403744, O=134459999999999999
Caso 510: N=103245261784170144, O=99999999999999999
Caso 511: N=303908045085625856, O=299999999999999999
Caso 512: N=123407631211293840, O=123399999999999999
Caso 513: N=729238965878793856, O=699999999999999999
Caso 514: N=421945286295911680, O=399999999999999999
Caso 515: N=254675552352835136, O=249999999999999999
Caso 516: N=195418541455327232, O=189999999999999999
Caso 517: N=274802914009488544, O=269999999999999999
Caso 518: N=127432133225938608, O=126999999999999999
Caso 519: N=235576965385438816, O=235569999999999999
Caso 520: N=682697813668260608, O=679999999999999999
Caso 521: N=590580715475106176, O=589999999999999999
Caso 522: N=855960947343104128, O=799999999999999999
Caso 523: N=938220461150869248, O=899999999999999999
Caso 524: N=845060807811362816, O=799999999999999999
Caso 525: N=444388088603227648, O=333999999999999999
Caso 526: N=709393896249253760, O=699999999999999999
Caso 527: N=332593699211765504, O=229999999999999999
Caso 528: N=556025192428578176, O=555999999999999999
Caso 529: N=24892658735682692, O=24889999999999999
Caso 530: N=311153671217529024, O=299999999999999999
Caso 531: N=220410124457863328, O=119999999999999999
Caso 532: N=908216653720842496, O=899999999999999999
Caso 533: N=785352716899118976, O=779999999999999999
Caso 534: N=307372027683529472, O=299999999999999999
Caso 535: N=233658094603158336, O=233599999999999999
Caso 536: N=284309667228254336, O=279999999999999999
Caso 537: N=938567613934747264, O=899999999999999999
Caso 538: N=347321735965561792, O=346999999999999999
Caso 539: N=123231976523893840, O=122999999999999999
Caso 540: N=496439489396973696, O=489999999999999999
Caso 541: N=426923011201365568, O=399999999999999999
Caso 542: N=191477878737104192, O=189999999999999999
Caso 543: N=179594685606186080, O=178999999999999999
Caso 544: N=789403451737521408, O=788999999999999999
Caso 545: N=891609310186505856, O=889999999999999999
Caso 546: N=616061972110143104, O=599999999999999999
Caso 547: N=280741510083929664, O=279999999999999999
Caso 548: N=601603365491824000, O=599999999999999999
Caso 549: N=21536819157402688, O=19999999999999999
Caso 550: N=209681049301612128, O=199999999999999999
Caso 551: N=372305125151315776, O=369999999999999999
Caso 552: N=982563091462440320, O=899999999999999999
Caso 553: N=675167002588964480, O=669999999999999999
Caso 554: N=990680366392470400, O=889999999999999999
Caso 555: N=150462442906474592, O=149999999999999999
Caso 556: N=476988347994243520, O=469999999999999999
Caso 557: N=337423531566752448, O=336999999999999999
Caso 558: N=13087462515786074, O=12999999999999999
Caso 559: N=340373665191055488, O=339999999999999999
Caso 560: N=102718636559790960, O=99999999999999999
Caso 561: N=799043416760163072, O=788999999999999999
Caso 562: N=774532550985140352, O=669999999999999999
Caso 563: N=241205110530063104, O=239999999999999999
Caso 564: N=773553907996293376, O=669999999999999999
Caso 565: N=427172625633414976, O=399999999999999999
Caso 566: N=291287749362631808, O=289999999999999999
Caso 567: N=143356467565956544, O=139999999999999999
Caso 568: N=147821496691920352, O=147799999999999999
Caso 569: N=33706807163743412, O=33699999999999999
Caso 570: N=163576026609705152, O=159999999999999999
Caso 571: N=814334719882037504, O=799999999999999999
Caso 572: N=419681542393119488, O=399999999999999999
Caso 573: N=141822360078259984, O=139999999999999999
Caso 574: N=818558315136220544, O=799999999999999999
Caso 575: N=496786397056713024, O=489999999999999999
Caso 576: N=12552121343323952, O=12449999999999999
Caso 577: N=401338975328506944, O=399999999999999999
Caso 578: N=388914854129801408, O=388899999999999999
Caso 579: N=765520446548239360, O=699999999999999999
Caso 580: N=482667875108811840, O=479999999999999999
Caso 581: N=9999650514854518, O=8888999999999999
Caso 582: N=361695198363139008, O=359999999999999999
